contractSymbol,strike,lastPrice,ask,volume,openInterest,Expiration_date,Symbol,Days_until_exp,Div_yield,Stock_price,Delta,Gamma,Vega,Theta,Rho,Implied_vol (%),Moneyness_pct,Approx_win_prob_pct
AAPL240913P00222500,222.5,1.74,1.73,605.0,970.0,2024-09-13,AAPL,11,0.0044,229.0,-0.2566314894166508,0.029425643462564443,0.12808100838987588,-0.15308291691358386,-0.01823311935744327,27.541525024008806,-0.028384279475982533,0.7433685105833492
AAPL240913P00225000,225.0,2.4,2.4,1306.0,3332.0,2024-09-13,AAPL,11,0.0044,229.0,-0.3328772529581381,0.0342502532370309,0.14446876209456588,-0.16582891275928574,-0.023693327234478638,26.689434943412955,-0.017467248908296942,0.6671227470418619
AAPL240920P00220000,220.0,1.83,1.89,3577.0,25655.0,2024-09-20,AAPL,18,0.0044,229.0,-0.22692537464992635,0.02241310430540164,0.15325408687222672,-0.10610194041170605,-0.026523916488941524,26.439878021933964,-0.039301310043668124,0.7730746253500737
AAPL240920P00222500,222.5,2.44,2.46,502.0,2675.0,2024-09-20,AAPL,18,0.0044,229.0,-0.28578231380380026,0.025748626263215398,0.1728752044330068,-0.11652454304962817,-0.03347009709628616,25.961395765633466,-0.028384279475982533,0.7142176861961997
AAPL240920P00225000,225.0,3.15,3.2,1576.0,23294.0,2024-09-20,AAPL,18,0.0044,229.0,-0.3514426878574288,0.028942895938237383,0.18864405746012083,-0.1220324984801633,-0.04123374831676909,25.202901403590978,-0.017467248908296942,0.6485573121425712
AAPL240927P00220000,220.0,2.34,2.44,620.0,2497.0,2024-09-27,AAPL,25,0.0044,229.0,-0.24785915357000388,0.020770417260665607,0.18958024535175455,-0.08926033470056911,-0.040467529837941336,25.41146777962135,-0.039301310043668124,0.7521408464299961
AAPL240927P00225000,225.0,3.72,3.85,983.0,2768.0,2024-09-27,AAPL,25,0.0044,229.0,-0.360551867433373,0.025783713084136052,0.22433466734796056,-0.09833102527771904,-0.05908317599222571,24.223272977908064,-0.017467248908296942,0.639448132566627
AAPL241018P00215000,215.0,2.54,2.6,1197.0,16417.0,2024-10-18,AAPL,46,0.0044,229.0,-0.20827207850872032,0.014015864848310916,0.23315844091778842,-0.05776595432343701,-0.06327552393145243,25.17070093750134,-0.0611353711790393,0.7917279214912797
AAPL241018P00220000,220.0,3.6,3.7,2086.0,12100.0,2024-10-18,AAPL,46,0.0044,229.0,-0.2815792756247263,0.01730632591331394,0.27440584315608957,-0.06339248785685454,-0.0857563103188973,23.99123169355901,-0.039301310043668124,0.7184207243752737
AAPL241018P00225000,225.0,5.15,5.2,1651.0,14686.0,2024-10-18,AAPL,46,0.0044,229.0,-0.3735914364276782,0.02009772398594262,0.3079027017326583,-0.06670259481135288,-0.11424994720215455,23.180921180524642,-0.017467248908296942,0.6264085635723218
ABBV240920P00192500,192.5,1.43,1.48,101.0,558.0,2024-09-20,ABBV,18,0.031600002,196.31,-0.2800789659453208,0.04439752521098669,0.1467695075882962,-0.0641573250356519,-0.02777651264069644,17.394525565741912,-0.019408079058631768,0.7199210340546792
ABNB241018P00115000,115.0,3.42,3.55,120.0,2136.0,2024-10-18,ABNB,46,0.0,117.31,-0.3826184899566967,0.03164723487737786,0.15889670905882367,-0.044203537270653966,-0.060877502811334916,28.949701858359646,-0.01969141590657235,0.6173815100433033
ABR240920P00013000,13.0,0.24,0.25,159.0,6664.0,2024-09-20,ABR,18,0.1265,13.6,-0.2794532927869323,0.2828183364217359,0.010156898059974686,-0.010626572502310968,-0.00198044475291462,39.37277934240916,-0.044117647058823505,0.7205467072130677
ABSI240920P00004000,4.0,0.15,0.2,125.0,626.0,2024-09-20,ABSI,18,0.0,4.4,-0.2695756484327757,0.40094229906171014,0.0032282196772957755,-0.007402014345936783,-0.0006589148316678313,84.3327398980447,-0.09090909090909098,0.7304243515672243
ABT240920P00111000,111.0,1.13,0.83,188.0,514.0,2024-09-20,ABT,18,0.0194,113.27,-0.3098682489037712,0.06567708304650689,0.08872476633725176,-0.04827820641652249,-0.017849503486144624,21.35116450273556,-0.020040610929637114,0.6901317510962288
ACB240920P00005500,5.5,0.23,0.23,102.0,597.0,2024-09-20,ACB,18,0.0,6.08,-0.27234798583969644,0.26886066215045695,0.004483642551581839,-0.011166886495060296,-0.0009300209197341474,91.47805436326281,-0.09539473684210527,0.7276520141603036
ACHR240927P00003000,3.0,0.1,0.15,800.0,800.0,2024-09-27,ACHR,25,0.0,3.4,-0.22913308203143234,0.4463299291144584,0.0026962129154237124,-0.004008637699790399,-0.0006020907389773081,76.29449391263456,-0.11764705882352938,0.7708669179685677
ACHR241018P00003000,3.0,0.15,0.2,244.0,3227.0,2024-10-18,ACHR,46,0.0,3.4,-0.2579345433741226,0.38193705099777553,0.003899007115910127,-0.0028464152337094517,-0.00129427294749898,70.07118079023739,-0.11764705882352938,0.7420654566258774
ACI240920P00019000,19.0,0.35,0.35,16468.0,8478.0,2024-09-20,ACI,18,0.024500001,19.62,-0.3201980950914701,0.2271692099943033,0.01558518873192443,-0.014850726201422623,-0.0032669442271004764,36.13973397234993,-0.03160040774719679,0.6798019049085299
ADBE241018P00530000,530.0,13.63,12.4,524.0,643.0,2024-10-18,ADBE,46,0.0,574.41,-0.25310003020924776,0.0038347639214514418,0.6522350313930013,-0.2709016124096932,-0.2004001825812254,40.903129480986614,-0.07731411361222815,0.7468999697907522
ADSK240920P00250000,250.0,2.27,2.45,435.0,672.0,2024-09-20,ADSK,18,0.0,258.4,-0.25494682565222315,0.022273013673088447,0.18424195395347207,-0.12038962559021618,-0.03360736097188,25.121460688211663,-0.03250773993808041,0.7450531743477768
AEM240920P00080000,80.0,1.4,1.45,439.0,4514.0,2024-09-20,AEM,18,0.0196,81.47,-0.36470599409156224,0.07097331266810124,0.06798536794655803,-0.05153598763173454,-0.015328933872094979,29.264782637139852,-0.01804345157726769,0.6352940059084378
AER241018P00092500,92.5,1.8,1.35,1005.0,2660.0,2024-10-18,AER,46,0.010299999,97.42,-0.2716782619528032,0.03302220020991477,0.11470608062969832,-0.03282123258354722,-0.03558043020316961,29.041511557004817,-0.05050297680147815,0.7283217380471968
AFRM240906P00042000,42.0,0.68,0.68,3035.0,1546.0,2024-09-06,AFRM,4,0.0,44.01,-0.2773627398813191,0.08827512175096143,0.01543754073620848,-0.15743928956773284,-0.0014122448418823952,82.38913199260858,-0.04567143830947508,0.7226372601186809
AFRM240913P00041000,41.0,0.86,0.9,825.0,714.0,2024-09-13,AFRM,11,0.0,44.01,-0.2545467224550927,0.060619734019708785,0.024510397228381914,-0.0757247861393988,-0.0036353044878831486,69.26817817602182,-0.06839354692115424,0.7454532775449073
AFRM240920P00040000,40.0,1.01,1.0,940.0,1102.0,2024-09-20,AFRM,18,0.0,44.01,-0.23697492472959536,0.04593177973147609,0.030172307034225194,-0.05626661284822023,-0.005641282078692899,68.77219203660948,-0.0911156555328334,0.7630250752704046
AFRM240920P00041000,41.0,1.26,1.34,2803.0,1000.0,2024-09-20,AFRM,18,0.0,44.01,-0.2856804526937571,0.052029154653489174,0.03321811199265954,-0.06001635437001421,-0.006821653178491518,66.84143998475123,-0.06839354692115424,0.7143195473062429
AFRM240920P00042500,42.5,1.85,1.9,577.0,543.0,2024-09-20,AFRM,18,0.0,44.01,-0.37338637137161756,0.05761034956594408,0.03700929846323,-0.06694717699093211,-0.009016142895155286,67.25552460574475,-0.034310384003635494,0.6266136286283824
AFRM241018P00037500,37.5,1.28,1.3,304.0,691.0,2024-10-18,AFRM,46,0.0,44.01,-0.2017425368532103,0.02782208231069081,0.04396869112752303,-0.02972249639567236,-0.01280273140158494,64.74201352102212,-0.1479209270620313,0.7982574631467897
AFRM241018P00040000,40.0,2.04,2.07,1588.0,1118.0,2024-10-18,AFRM,46,0.0,44.01,-0.2882577738097992,0.034145645157328514,0.053329230665590546,-0.03532139688959068,-0.018559077610054417,63.98265999940681,-0.0911156555328334,0.7117422261902008
AFRM241018P00042500,42.5,3.0,3.1,782.0,1018.0,2024-10-18,AFRM,46,0.0,44.01,-0.38468586056411336,0.03915141373147355,0.0597072394541653,-0.03815467598158281,-0.025117291432263697,62.47580188522714,-0.034310384003635494,0.6153141394358866
AGNC240920P00010000,10.0,0.07,0.08,469.0,22263.0,2024-09-20,AGNC,18,0.14130001,10.21,-0.24304500224998893,0.9082039965088213,0.0070969606608839225,-0.0026927691686918476,-0.0012485911123580498,15.200499674705393,-0.020568070519099004,0.7569549977500111
AGNC240927P00010000,10.0,0.1,0.12,8574.0,1731.0,2024-09-27,AGNC,25,0.14130001,10.21,-0.2703428863800017,0.8061954717551763,0.008840719878329024,-0.00237605970784708,-0.001938032240109911,15.358494521305936,-0.020568070519099004,0.7296571136199983
AGNC241018P00010000,10.0,0.18,0.19,626.0,1788.0,2024-10-18,AGNC,46,0.14130001,10.21,-0.3070333471531781,0.6235934503915068,0.012733528269568944,-0.0017613959918289924,-0.0040943991143819955,15.542853740171847,-0.020568070519099004,0.6929666528468219
AI240906P00022000,22.0,1.0,1.02,470.0,581.0,2024-09-06,AI,4,0.0,23.34,-0.33456029792240816,0.08888334286063634,0.008896851367754893,-0.18540630958824125,-0.000965330120932494,167.66681906946687,-0.057412167952013704,0.6654397020775918
ALAB240920P00040000,40.0,2.1,2.2,1769.0,881.0,2024-09-20,ALAB,18,0.0,43.06,-0.31994774670488946,0.0397809417011517,0.034193611160466146,-0.08738103704665114,-0.007829728753863717,94.00310901586178,-0.07106363214119837,0.6800522532951105
ALLY240913P00041000,41.0,0.53,0.3,647.0,688.0,2024-09-13,ALLY,11,0.0278,43.19,-0.24216943256366164,0.08931404956296086,0.02342293086889126,-0.04835001190242612,-0.0033091857524858706,46.650384410107506,-0.05070618198657092,0.7578305674363384
ALNY240920P00250000,250.0,4.0,4.4,508.0,1575.0,2024-09-20,ALNY,18,0.0,262.69,-0.2667859675593427,0.013991028664331244,0.191725802587656,-0.20556816354561513,-0.03653359191032731,40.26838353823997,-0.04830789143096425,0.7332140324406573
AMAT240906P00192500,192.5,1.94,1.96,200.0,679.0,2024-09-06,AMAT,4,0.0081,197.26,-0.3005708082125492,0.03525488642437823,0.07186065984427371,-0.422019216388366,-0.006709625139699018,47.79986789398242,-0.024130589070262554,0.6994291917874508
AMBA241018P00055000,55.0,1.57,1.6,280.0,831.0,2024-10-18,AMBA,46,0.0,59.7,-0.25990397847406776,0.03515470650134864,0.06873190043101868,-0.03046824275519447,-0.02153337823795849,43.52725165580101,-0.0787269681742044,0.7400960215259322
AMC240913P00004500,4.5,0.08,0.09,455.0,2186.0,2024-09-13,AMC,11,0.0,4.82,-0.24321410611939087,0.5951360699212563,0.0026200954834598744,-0.007338337939661028,-0.0003774030659301398,62.87919145318192,-0.06639004149377599,0.7567858938806091
AMC240920P00004500,4.5,0.13,0.14,382.0,3524.0,2024-09-20,AMC,18,0.0,4.82,-0.28389954679937524,0.49662110123419057,0.003627226107277315,-0.006243339641858823,-0.0007389349227483231,63.74934735010559,-0.06639004149377599,0.7161004532006248
AMC240927P00004500,4.5,0.16,0.19,122.0,1337.0,2024-09-27,AMC,25,0.0,4.82,-0.29910058216107194,0.44886940385126917,0.004380009847397924,-0.005179589217206184,-0.0010970306890523062,61.32165430083928,-0.06639004149377599,0.7008994178389281
AMD240906P00143000,143.0,1.08,1.14,1189.0,1671.0,2024-09-06,AMD,4,0.0,148.56,-0.22764360255252658,0.03787122713845232,0.04695107663699766,-0.2966419402074744,-0.003824518750159271,51.25842639388484,-0.03742595584275715,0.7723563974474734
AMD240906P00144000,144.0,1.3,1.39,1221.0,1335.0,2024-09-06,AMD,4,0.0,148.56,-0.26545674389431406,0.041843048216126395,0.050984036490207316,-0.3161701865847046,-0.0044642469997741695,50.37789224258445,-0.03069466882067853,0.7345432561056859
AMD240906P00145000,145.0,1.6,1.65,4395.0,1803.0,2024-09-06,AMD,4,0.0,148.56,-0.30984329455385495,0.04511145744697891,0.05485425863035277,-0.33900949313496814,-0.005219761078237884,50.27505832699598,-0.023963381798599907,0.690156705446145
AMD240906P00146000,146.0,1.95,2.03,2523.0,1474.0,2024-09-06,AMD,4,0.0,148.56,-0.3571902957395702,0.047760059100631795,0.05802439878157711,-0.3577288120591504,-0.006028952365487184,50.23135405791188,-0.017232094776521285,0.6428097042604298
AMD240913P00140000,140.0,1.5,1.57,539.0,1280.0,2024-09-13,AMD,11,0.0,148.56,-0.21294315477678227,0.024377192668431063,0.07493543034742083,-0.1534454620333932,-0.009985840707124008,46.21680443112659,-0.05761981690899302,0.7870568452232177
AMD240913P00145000,145.0,3.03,3.05,219.0,847.0,2024-09-13,AMD,11,0.0,148.56,-0.35926562375074866,0.03153883991282282,0.09641697434887331,-0.19466673096520232,-0.0169980140194116,45.96255704944015,-0.023963381798599907,0.6407343762492513
AMD240920P00137000,137.0,1.91,1.74,174.0,948.0,2024-09-20,AMD,18,0.0,148.56,-0.203235576165127,0.017766321472078905,0.09325366708353697,-0.12107240277729979,-0.015831457246894318,48.22641517611204,-0.07781367797522888,0.796764423834873
AMD240920P00138000,138.0,2.13,1.95,130.0,911.0,2024-09-20,AMD,18,0.0,148.56,-0.2219352667642196,0.018802598366210958,0.09817431673678212,-0.12661328888187315,-0.017309935839694916,47.972968840012456,-0.07108239095315026,0.7780647332357804
AMD240920P00139000,139.0,2.15,2.19,133.0,728.0,2024-09-20,AMD,18,0.0,148.56,-0.23292601345029296,0.020341153812908495,0.10088424834438771,-0.12328791158008715,-0.018125008056086557,45.56846051686124,-0.06435110393107163,0.767073986549707
AMD240920P00140000,140.0,2.38,2.45,542.0,21136.0,2024-09-20,AMD,18,0.0,148.56,-0.25340938378468025,0.021495753368532107,0.10558939258400718,-0.1275706060607371,-0.01973909493125857,45.13196044757007,-0.05761981690899302,0.7465906162153197
AMD240920P00141000,141.0,2.7,2.73,236.0,672.0,2024-09-20,AMD,18,0.0,148.56,-0.2773826805913583,0.02240692257418179,0.11054781454646298,-0.13392878413919893,-0.021653245986732583,45.329875442709714,-0.05088852988691439,0.7226173194086417
AMD240920P00142000,142.0,3.05,3.05,194.0,967.0,2024-09-20,AMD,18,0.0,148.56,-0.3021094284754202,0.023207378615493945,0.11506910459037989,-0.13986301426976896,-0.023637391246508266,45.556381790680526,-0.04415724286483577,0.6978905715245798
AMD240920P00143000,143.0,3.72,3.4,753.0,712.0,2024-09-20,AMD,18,0.0,148.56,-0.3336512869640228,0.0228595430352818,0.11999929607750141,-0.15437513113411364,-0.026278636532732987,48.23116273212843,-0.03742595584275715,0.6663487130359772
AMD240920P00144000,144.0,3.65,3.75,267.0,780.0,2024-09-20,AMD,18,0.0,148.56,-0.34952449506050476,0.025205381337455694,0.12213672824893503,-0.14437839687469378,-0.027407026349353273,44.52147946215127,-0.03069466882067853,0.6504755049394952
AMD240920P00145000,145.0,4.0,4.15,765.0,24264.0,2024-09-20,AMD,18,0.0,148.56,-0.3750299282308087,0.02604839473861744,0.12510236250728596,-0.14617732984294293,-0.029448220013244965,44.126666923180345,-0.023963381798599907,0.6249700717691913
AMD240927P00140000,140.0,3.16,3.15,109.0,1027.0,2024-09-27,AMD,25,0.0,148.56,-0.2770806832278947,0.019274613494548176,0.13021244578161725,-0.11106659536189717,-0.030358291986531533,44.69056986807944,-0.05761981690899302,0.7229193167721053
AMD241018P00135000,135.0,3.57,3.6,435.0,7698.0,2024-10-18,AMD,46,0.0,148.56,-0.2371615860568782,0.01305830392907174,0.16288819582318262,-0.07474648397316973,-0.048902064666631544,44.84707179113857,-0.09127625201938612,0.7628384139431218
AMD241018P00140000,140.0,5.13,5.1,1164.0,11351.0,2024-10-18,AMD,46,0.0,148.56,-0.311993775980697,0.015101931152478279,0.1865792595125339,-0.0839043516205568,-0.06487864620673559,44.41832019011468,-0.05761981690899302,0.688006224019303
AMD241018P00145000,145.0,7.09,7.05,1038.0,6412.0,2024-10-18,AMD,46,0.0,148.56,-0.3940327177287689,0.016596862790928268,0.20293270786301823,-0.08909115555836708,-0.0827086308248261,43.959960970988284,-0.023963381798599907,0.6059672822712311
AMGN240920P00330000,330.0,4.25,4.25,367.0,2623.0,2024-09-20,AMGN,18,0.027,333.83,-0.3741877204878836,0.024673989335621132,0.2809186230769288,-0.14617530980646665,-0.06361467750568059,20.716233278663367,-0.011472905370997167,0.6258122795121164
AMT240920P00220000,220.0,2.61,2.45,110.0,3285.0,2024-09-20,AMT,18,0.028900001,224.06,-0.33153449002648283,0.03253387572311578,0.18052858679604025,-0.10318023773462925,-0.03786714730556313,22.413097231048265,-0.018120146389360003,0.6684655099735172
AMZN240906P00175000,175.0,0.87,0.92,15115.0,2801.0,2024-09-06,AMZN,4,0.0,178.5,-0.2543448000260822,0.057144411120431,0.05992254517349001,-0.2193908988481435,-0.005070744855304732,30.03121630610818,-0.0196078431372549,0.7456551999739178
AMZN240913P00172500,172.5,1.08,1.3,574.0,559.0,2024-09-13,AMZN,11,0.0,178.5,-0.21879424227572908,0.035048021282432854,0.09146305500944486,-0.10817095298103532,-0.012095410813928604,27.177276814732533,-0.03361344537815126,0.7812057577242709
AMZN240913P00175000,175.0,1.71,1.78,1657.0,764.0,2024-09-13,AMZN,11,0.0,178.5,-0.31475524825390777,0.043271876469229274,0.11004303854201827,-0.1255236393992041,-0.01744745013552186,26.48381731895614,-0.0196078431372549,0.6852447517460922
AMZN240920P00172500,172.5,1.75,1.85,1065.0,3793.0,2024-09-20,AMZN,18,0.0,178.5,-0.2620747079031305,0.030468620501104354,0.12910317517491116,-0.09088437563179022,-0.02393276812308927,26.9667153173106,-0.03361344537815126,0.7379252920968695
AMZN240920P00175000,175.0,2.4,2.58,3248.0,12495.0,2024-09-20,AMZN,18,0.0,178.5,-0.3405540464875644,0.03574623548662926,0.1453336004327192,-0.09687568461389631,-0.031161647982590256,25.874957141577504,-0.0196078431372549,0.6594459535124356
AMZN240927P00170000,170.0,1.67,2.19,434.0,1067.0,2024-09-27,AMZN,25,0.0,178.5,-0.22173804383635098,0.023515963377264738,0.13894644317229066,-0.07028818952425188,-0.02825358960601964,27.074539191310098,-0.047619047619047616,0.778261956163649
AMZN240927P00175000,175.0,3.0,3.1,306.0,1055.0,2024-09-27,AMZN,25,0.0,178.5,-0.3549047255174236,0.030951256357571864,0.17390179108507905,-0.08158188870337886,-0.04544554349647954,25.745550797735582,-0.0196078431372549,0.6450952744825764
AMZN241018P00170000,170.0,2.88,3.1,1415.0,10364.0,2024-10-18,AMZN,46,0.0,178.5,-0.2668932076815508,0.01949810007221701,0.20830807123817485,-0.05417833837429939,-0.06366959255543052,26.605559392292292,-0.047619047619047616,0.7331067923184492
AMZN241018P00175000,175.0,4.5,4.6,1295.0,14867.0,2024-10-18,AMZN,46,0.0,178.5,-0.3743063457350373,0.02299894053375485,0.24014836872231388,-0.05931929192136111,-0.08987477821453126,26.00341591803733,-0.0196078431372549,0.6256936542649627
ANF240920P00140000,140.0,2.9,3.1,114.0,727.0,2024-09-20,ANF,18,0.0,147.57,-0.28343292958214794,0.021763284967018084,0.11096435200443075,-0.14097324965538918,-0.022056754891284284,47.47699657842639,-0.05129768923222873,0.7165670704178521
APA241018P00027500,27.5,0.88,0.89,115.0,2342.0,2024-10-18,APA,46,0.035099998,28.49,-0.34382544027330086,0.1081359595115978,0.037216478115196086,-0.012334364906031296,-0.013398591044807878,33.644592189289675,-0.034749034749034693,0.6561745597266991
APH240920P00065000,65.0,0.65,0.7,1775.0,2029.0,2024-09-20,APH,18,0.0098,67.45,-0.25162731722088716,0.07710976672839408,0.04776232535974139,-0.034514509873254384,-0.00868636652814714,27.607846064697267,-0.03632320237212754,0.7483726827791128
APH241018P00065000,65.0,1.55,1.4,1355.0,1856.0,2024-10-18,APH,46,0.0098,67.45,-0.320515780199934,0.051786627092267175,0.08568753563825697,-0.02410121821571246,-0.029165166118743643,28.858327090710596,-0.03632320237212754,0.679484219800066
ARE241018P00115000,115.0,3.1,2.45,636.0,829.0,2024-10-18,ARE,46,0.0435,119.57,-0.32137965550239467,0.02757962424764396,0.15207058587915398,-0.045625670729018526,-0.0520635900404913,30.601833542763607,-0.03822028937024332,0.6786203444976053
ARM240920P00120000,120.0,2.46,2.63,1000.0,5544.0,2024-09-20,ARM,18,0.0,132.88,-0.21220861574081207,0.015241857686102827,0.08556740595653635,-0.14956287870500848,-0.01511915220475353,64.47206556075965,-0.09692956050571941,0.7877913842591879
ARM241018P00120000,120.0,5.75,5.85,155.0,2497.0,2024-10-18,ARM,46,0.0,132.88,-0.2771273726834864,0.011240378176536323,0.15799922082086876,-0.10337285056042343,-0.0536557677528865,63.16693667995625,-0.09692956050571941,0.7228726273165136
ARM241018P00125000,125.0,7.57,7.7,125.0,1958.0,2024-10-18,ARM,46,0.0,132.88,-0.34033426744813144,0.012446192954123319,0.17291115775535162,-0.11100243975545616,-0.06653442200250287,62.431286299740165,-0.05930162552679106,0.6596657325518686
ASTS240906P00027500,27.5,1.22,1.25,162.0,2095.0,2024-09-06,ASTS,4,0.0,29.04,-0.3406861466724732,0.07497595709116815,0.011147627257458992,-0.222844134837284,-0.0012179206245883421,160.87926353741943,-0.053030303030303004,0.6593138533275268
ASTS240906P00028000,28.0,1.36,1.55,1184.0,872.0,2024-09-06,ASTS,4,0.0,29.04,-0.37857834961952386,0.08091443916856352,0.011561860266344011,-0.2219668650968225,-0.0013538537285425725,154.6113374713765,-0.03581267217630851,0.6214216503804761
ASTS240920P00025000,25.0,1.8,1.9,309.0,2868.0,2024-09-20,ASTS,18,0.0,29.04,-0.2640854440466359,0.034727294877615535,0.021085871758136924,-0.08437763235213541,-0.004669664200330343,145.99828066789752,-0.13911845730027544,0.7359145559533641
ASTS241018P00025000,25.0,3.16,3.2,188.0,1053.0,2024-10-18,ASTS,46,0.0,29.04,-0.28570929420289437,0.025032007894224603,0.03504158242491671,-0.04879303625089949,-0.014438956262136832,131.7133608857004,-0.13911845730027544,0.7142907057971056
ATHA240920P00002500,2.5,0.41,0.45,738.0,4147.0,2024-09-20,ATHA,18,0.0,3.09,-0.2559298294768333,0.17090076802636386,0.002207637811338479,-0.016679253261143993,-0.0005921867702877114,274.33878437772694,-0.1909385113268608,0.7440701705231667
ATHA241018P00002500,2.5,0.9,1.0,295.0,2551.0,2024-10-18,ATHA,46,0.0,3.09,-0.22556508182868074,0.08691984075863243,0.003294598393520753,-0.011088547205448114,-0.0020126526227706486,314.9935305977258,-0.1909385113268608,0.7744349181713193
AVGO240906P00152500,152.5,2.17,2.8,444.0,980.0,2024-09-06,AVGO,4,0.0128999995,162.82,-0.2293940816783968,0.019572189090759678,0.05167972832466028,-0.5823803384959705,-0.0043303736339155505,90.8862514039104,-0.06338287679646232,0.7706059183216032
AVGO240906P00155000,155.0,2.91,3.2,1127.0,1775.0,2024-09-06,AVGO,4,0.0128999995,162.82,-0.28494392135006896,0.021833873875249668,0.057861675595406864,-0.653833026092462,-0.0054025211133213805,91.2173772947454,-0.048028497727551855,0.715056078649931
AVGO240906P00157500,157.5,3.77,4.0,540.0,840.0,2024-09-06,AVGO,4,0.0128999995,162.82,-0.34407607027000475,0.023728163173979345,0.06273652564572368,-0.706506950006443,-0.006551730427030742,91.00677316486855,-0.03267411865864141,0.6559239297299952
AVGO240913P00150000,150.0,2.3,4.4,423.0,1435.0,2024-09-13,AVGO,11,0.0128999995,162.82,-0.210733909446713,0.015925312162007932,0.08162874179898154,-0.23365385024216176,-0.01102963265713223,64.15637644275657,-0.07873725586537277,0.789266090553287
AVGO240913P00155000,155.0,4.08,5.9,116.0,658.0,2024-09-13,AVGO,11,0.0128999995,162.82,-0.31159646827643583,0.018603634531921744,0.09994181253474752,-0.2988876946367232,-0.01651337472027531,67.240990273426,-0.048028497727551855,0.6884035317235642
AVGO240920P00150000,150.0,2.92,4.1,366.0,7301.0,2024-09-20,AVGO,18,0.0128999995,162.82,-0.23040127450088743,0.014974720532588096,0.10989845149247714,-0.16651763613209142,-0.01992821803268401,56.13551425830512,-0.07873725586537277,0.7695987254991126
AVGO240920P00151000,151.0,3.62,5.0,151.0,715.0,2024-09-20,AVGO,18,0.0128999995,162.82,-0.25768272490743827,0.014941474990876303,0.11674009490235707,-0.18833196001990843,-0.022462588951238264,59.76286763999099,-0.07259550423780858,0.7423172750925617
AVGO240920P00152000,152.0,3.5,5.6,235.0,1619.0,2024-09-20,AVGO,18,0.0128999995,162.82,-0.263976290812577,0.016101178949702744,0.11819829455752659,-0.17878578679614104,-0.022908427001482327,56.15111597032292,-0.0664537526102444,0.736023709187423
AVGO240920P00153000,153.0,4.19,5.9,221.0,1811.0,2024-09-20,AVGO,18,0.0128999995,162.82,-0.28928750477038445,0.0159777056852738,0.12362552636211627,-0.19708627900005432,-0.025279767529214032,59.18322067342843,-0.06031200098268022,0.7107124952296155
AVGO240920P00155000,155.0,4.54,6.6,211.0,7377.0,2024-09-20,AVGO,18,0.0128999995,162.82,-0.3181726041595745,0.017492088387252004,0.1289922171512855,-0.19535253821581777,-0.02777021438391431,56.40618181823397,-0.048028497727551855,0.6818273958404255
